-10909004001974178	3788844	4974178	
-10901051782259053	3877202	5259053	
-10915736002063576	3714044	5063576	
-10908441682202473	3795092	5202473	
-10913873181869382	3734742	4869382	
-10902135742262363	3865158	5262363	
-10888795132207868	4013387	5207868	
-10919498271965779	3672241	4965779	
-10886728461916579	4036350	4916579	
-10913684002053276	3736844	5053276	
-10901254372259072	3874951	5259072	
-10927999492278166	3577783	5278166	
-10922323011982832	3640855	4982832	
-10929965002258271	3555944	5258271	
-10914476181861282	3728042	4861282	
-10910714092212616	3769843	5212616	
-10928142772277497	3576191	5277497	
-10908643642195273	3792848	5195273	
-10921048251961936	3655019	4961936	
-10917329181991478	3696342	4991478	
-10883323582130677	4074182	5130677	
-10916141092014277	3709543	5014277	
-10888446472199373	4017261	5199373	
-10889644192229173	4003953	5229173	
-10912171822136175	3753646	5136175	
-10917098601861208	3698904	4861208	
-10906691092200120	3814543	5200120	
-10917689181986078	3692342	4986078	
-10913641971889337	3737311	4889337	
-10922531361982649	3638540	4982649	
-10921225372018079	3653051	5018079	
-10916519092059576	3705343	5059576	
-10915631781963005	3715202	4963005	
-10913806761887780	3735480	4887780	
-10909532842036214	3782968	5036214	
-10911578002045777	3760244	5045777	
-10911127642205573	3765248	5205573	
-10913738092014777	3736243	5014777	
-10902829462246972	3857450	5246972	
-10907298681861420	3807792	4861420	
-10928254912262571	3574945	5262571	
-10919254641961329	3674948	4961329	
-10918067182031377	3688142	5031377	
-10911515002045777	3760944	5045777	
-10916060181967779	3710442	4967779	
-10926346912262971	3596145	5262971	
-10904693181951240	3836742	4951240	
-10921325632019193	3651937	5019193	
-10913927002050676	3734144	5050676	
-10914944181882681	3722842	4882681	
-10917896271846182	3690041	4846182	
-10906933192009961	3811853	5009961	
-10927699162111364	3581120	5111364	
-10907896642190173	3801148	5190173	
-10910407282192063	3773252	5192063	
-10920353182033677	3662742	5033677	
-10910921002019277	3767544	5019277	
-10915286181826583	3719042	4826583	
-10927913002248072	3578744	5248072	
-10916929311880186	3700785	4880186	
-10916341881874169	3707312	4874169	
-10923632512173380	3626305	5173380	
-10916141092054376	3709543	5054376	
-10916303092038377	3707743	5038377	
-10927219822304071	3586446	5304071	
-10938126652054288	3465259	5054288	
-10914031941887956	3732978	4887956	
-10915115002061176	3720944	5061176	
-10924690552441669	3614549	5441669	
-10915763721896356	3713736	4896356	
-10916483092035677	3705743	5035677	
-10893802372143274	3957751	5143274	
-10922646741973327	3637258	4973327	
-10917029662048053	3699670	5048053	
-10929954112268735	3556065	5268735	
